               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.022103,            0.031059,           0.0060791,             0.89911,             0.87175,             0.93889,               0.684,            0.020797,            0.020771,            0.010233,            0.000928,            0.000928,            0.000928
                  38,             0.02247,             0.03038,           0.0057637,             0.88797,             0.86573,              0.9288,             0.67798,            0.020688,            0.020696,            0.011581,            0.000926,            0.000926,            0.000926
                  39,            0.022149,            0.031937,           0.0056942,             0.89324,             0.87989,             0.93829,             0.68555,            0.020613,            0.020694,            0.010077,            0.000924,            0.000924,            0.000924
                  40,            0.021891,            0.031545,           0.0057915,             0.88744,              0.8757,             0.93191,              0.6854,            0.020294,            0.020654,            0.011069,            0.000922,            0.000922,            0.000922
                  41,            0.022398,            0.031509,           0.0060228,             0.87878,             0.87962,             0.93342,              0.6825,            0.020648,            0.020627,            0.011032,             0.00092,             0.00092,             0.00092
                  42,            0.022068,            0.031883,           0.0055506,             0.88234,              0.8876,             0.93647,             0.68644,            0.020492,            0.020681,            0.010305,            0.000918,            0.000918,            0.000918
                  43,            0.022593,            0.030094,           0.0061355,             0.88519,             0.87103,             0.92878,             0.67796,             0.02055,            0.020821,            0.011215,            0.000916,            0.000916,            0.000916
                  44,            0.021898,            0.031074,           0.0053106,             0.89607,             0.87437,             0.93261,             0.68525,            0.020377,             0.02045,            0.010605,            0.000914,            0.000914,            0.000914
                  45,            0.022135,            0.031206,           0.0054537,             0.89013,             0.86436,               0.929,             0.67552,            0.020786,            0.020819,            0.011499,            0.000912,            0.000912,            0.000912
                  46,            0.021577,            0.031008,           0.0054817,             0.88803,             0.88069,             0.93709,             0.68585,             0.02056,            0.020654,            0.010039,             0.00091,             0.00091,             0.00091
                  47,            0.021934,            0.031828,           0.0051876,              0.8924,              0.8694,             0.93461,             0.68354,            0.020492,            0.020518,            0.011372,            0.000908,            0.000908,            0.000908
                  48,             0.02183,             0.03038,            0.004992,              0.8852,             0.85544,             0.92456,             0.67796,            0.020817,             0.02084,            0.012661,            0.000906,            0.000906,            0.000906
                  49,            0.021659,            0.030734,           0.0052252,             0.87402,             0.87512,             0.93392,             0.68881,            0.020259,            0.020633,            0.011031,            0.000904,            0.000904,            0.000904
