               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023695,            0.031838,           0.0080351,             0.76389,             0.75203,             0.80867,             0.58517,            0.021948,            0.022033,            0.028592,            0.005248,            0.005248,            0.005248
                  38,            0.023399,            0.031787,           0.0079544,             0.77461,             0.74226,             0.80956,             0.56765,            0.022199,            0.022657,            0.028498,            0.005116,            0.005116,            0.005116
                  39,            0.023203,             0.03221,           0.0079563,             0.76213,             0.75356,             0.80632,             0.58449,            0.021672,            0.022181,            0.027354,            0.004984,            0.004984,            0.004984
                  40,            0.022958,            0.030036,           0.0078394,             0.77451,             0.75024,             0.80908,             0.58988,             0.02133,            0.021915,            0.027661,            0.004852,            0.004852,            0.004852
                  41,            0.022715,            0.031273,           0.0078563,             0.76503,             0.73894,             0.80386,             0.57478,            0.021444,            0.021803,            0.027731,             0.00472,             0.00472,             0.00472
                  42,            0.022294,            0.030742,           0.0070662,             0.74681,             0.74402,             0.80041,             0.58448,            0.021373,             0.02174,            0.029803,            0.004588,            0.004588,            0.004588
                  43,            0.022194,            0.031553,           0.0071944,             0.80417,               0.787,             0.84742,             0.61836,            0.021385,            0.022072,            0.023564,            0.004456,            0.004456,            0.004456
                  44,            0.022192,            0.030543,           0.0066347,             0.76804,             0.77683,             0.82878,             0.60737,            0.021293,            0.021889,            0.027041,            0.004324,            0.004324,            0.004324
                  45,            0.021789,             0.03035,            0.006291,             0.81611,             0.77051,             0.84708,             0.61871,             0.02118,            0.021918,             0.02467,            0.004192,            0.004192,            0.004192
                  46,            0.021365,            0.030473,           0.0058514,             0.81357,             0.78028,             0.85147,             0.62875,            0.020767,            0.022143,            0.023009,             0.00406,             0.00406,             0.00406
                  47,             0.02114,             0.02995,           0.0060403,             0.78721,             0.77861,             0.82945,             0.60942,            0.020667,            0.022178,             0.02844,            0.003928,            0.003928,            0.003928
                  48,            0.020884,            0.030116,           0.0054705,             0.81569,             0.78674,             0.85251,             0.63089,            0.020657,            0.021903,            0.025161,            0.003796,            0.003796,            0.003796
                  49,            0.020977,            0.028755,            0.005657,             0.79589,              0.7807,             0.83038,             0.60947,            0.020369,            0.021543,            0.028176,            0.003664,            0.003664,            0.003664
                  50,            0.020959,            0.029928,           0.0059082,             0.82053,             0.79659,             0.84728,             0.62407,            0.020586,            0.021541,            0.025943,            0.003532,            0.003532,            0.003532
                  51,            0.020157,            0.029544,           0.0051139,             0.81302,             0.79405,             0.84934,             0.63343,            0.020488,            0.021523,            0.026186,              0.0034,              0.0034,              0.0034
                  52,            0.020116,            0.029046,           0.0052467,             0.81945,             0.80356,             0.86292,             0.64058,            0.020245,            0.021754,            0.022043,            0.003268,            0.003268,            0.003268
                  53,            0.020097,            0.029311,           0.0050521,               0.829,             0.80122,             0.85944,              0.6351,            0.020315,            0.021797,            0.020875,            0.003136,            0.003136,            0.003136
                  54,             0.01983,            0.029525,           0.0047545,             0.84268,             0.81412,             0.87438,             0.64382,            0.020457,            0.021637,             0.02012,            0.003004,            0.003004,            0.003004
                  55,            0.019518,            0.027995,           0.0046727,             0.80563,             0.78958,             0.85355,             0.63401,            0.020126,            0.021667,            0.023863,            0.002872,            0.002872,            0.002872
                  56,            0.019392,             0.02767,           0.0044689,             0.81945,             0.79581,             0.86043,             0.64118,             0.02023,            0.021536,            0.023777,             0.00274,             0.00274,             0.00274
                  57,            0.019226,            0.028984,           0.0043466,              0.8195,              0.7895,             0.85204,              0.6398,            0.019771,            0.021509,            0.025811,            0.002608,            0.002608,            0.002608
                  58,            0.018975,            0.028971,           0.0040979,             0.82813,             0.80195,             0.85731,             0.64019,            0.019636,            0.021135,            0.025327,            0.002476,            0.002476,            0.002476
                  59,            0.018935,            0.028426,           0.0041026,             0.81824,             0.80883,             0.86867,             0.64959,            0.019767,            0.021472,             0.02268,            0.002344,            0.002344,            0.002344
                  60,            0.018573,             0.02874,           0.0037638,             0.84235,             0.81229,             0.87472,             0.65753,            0.019689,            0.021393,            0.022298,            0.002212,            0.002212,            0.002212
                  61,            0.018537,            0.028258,           0.0038459,             0.84521,             0.79646,             0.86638,             0.65085,            0.019839,            0.021335,            0.022786,             0.00208,             0.00208,             0.00208
                  62,            0.018075,            0.027214,           0.0039426,             0.82662,             0.81461,             0.86503,              0.6525,            0.019648,            0.021493,            0.024134,            0.001948,            0.001948,            0.001948
                  63,            0.018081,            0.027348,           0.0036116,             0.80941,              0.8099,             0.85898,             0.64944,            0.019459,            0.021494,            0.024485,            0.001816,            0.001816,            0.001816
                  64,            0.017877,            0.027532,           0.0035496,             0.81432,             0.82397,             0.86232,              0.6536,            0.019296,             0.02115,            0.023875,            0.001684,            0.001684,            0.001684
                  65,            0.017298,            0.027392,           0.0035555,             0.82999,             0.80157,             0.85668,             0.64951,            0.019386,            0.021268,            0.025141,            0.001552,            0.001552,            0.001552
                  66,             0.01753,            0.026926,           0.0037939,               0.824,             0.80909,             0.85658,              0.6494,            0.019408,            0.021379,            0.025342,             0.00142,             0.00142,             0.00142
                  67,            0.017352,            0.027554,            0.003437,             0.83872,             0.82733,             0.87296,             0.65947,            0.019395,            0.021402,            0.022877,            0.001288,            0.001288,            0.001288
                  68,             0.01712,            0.026505,           0.0034722,             0.84158,              0.8258,             0.87762,             0.66319,             0.01932,            0.021218,            0.021651,            0.001156,            0.001156,            0.001156
                  69,            0.017097,             0.02694,           0.0031801,             0.84312,             0.82006,             0.87411,             0.66213,            0.019181,            0.021219,            0.021753,            0.001024,            0.001024,            0.001024
                  70,            0.016734,            0.026678,           0.0030097,              0.8263,             0.82326,               0.872,             0.65935,            0.019306,            0.021401,            0.023507,            0.000892,            0.000892,            0.000892
                  71,             0.01665,            0.026391,           0.0029611,             0.83956,             0.81574,             0.87096,             0.66299,            0.019064,            0.021157,            0.022786,             0.00076,             0.00076,             0.00076
                  72,            0.016414,            0.026485,           0.0028346,             0.84025,             0.81061,             0.86937,             0.66094,            0.019087,            0.021351,            0.023286,            0.000628,            0.000628,            0.000628
                  73,            0.016299,            0.026413,           0.0032928,             0.83865,              0.8168,             0.87122,             0.66048,            0.019037,            0.021234,            0.023987,            0.000496,            0.000496,            0.000496
                  74,            0.016414,            0.026131,           0.0028085,             0.84439,             0.82352,             0.87484,              0.6659,            0.019024,            0.021144,            0.022836,            0.000364,            0.000364,            0.000364
